1 1.4422495703074083 [0.47063501 3.36169156 0.        ]
1 1.4422495703074083 [0.42521214 3.34813712 0.        ]
1 1.4422495703074083 [0.38000363 3.33399256 0.        ]
1 1.4422495703074083 [0.33501696 3.31926166 0.        ]
1 1.4422495703074083 [0.29025949 3.30394831 0.        ]
1 1.4422495703074083 [0.24573854 3.2880565  0.        ]
1 1.4422495703074083 [0.20146134 3.27159027 0.        ]
1 1.4422495703074083 [0.15743504 3.25455378 0.        ]
1 1.4422495703074083 [0.11366673 3.23695123 0.        ]
1 1.4422495703074083 [0.07016341 3.21878692 0.        ]
1 1.4422495703074083 [0.02693201 3.20006525 0.        ]
1 1.4422495703074083 [-0.01602064  3.18079065  0.        ]
1 1.4422495703074083 [-0.05868774  3.16096767  0.        ]
1 1.4422495703074083 [-0.10106263  3.1406009   0.        ]
1 1.4422495703074083 [-0.14313868  3.11969501  0.        ]
1 1.4422495703074083 [-0.18490936  3.09825476  0.        ]
1 1.4422495703074083 [-0.22636822  3.07628496  0.        ]
1 1.4422495703074083 [-0.26750891  3.05379049  0.        ]
1 1.4422495703074083 [-0.30832512  3.03077631  0.        ]
1 1.4422495703074083 [-0.34881065  3.00724741  0.        ]
1 1.4422495703074083 [-0.38895938  2.9832089   0.        ]
1 1.4422495703074083 [-0.42876526  2.95866589  0.        ]
1 1.4422495703074083 [-0.46822235  2.9336236   0.        ]
1 1.4422495703074083 [-0.50732476  2.90808729  0.        ]
1 1.4422495703074083 [-0.5460667   2.88206226  0.        ]
1 1.4422495703074083 [-0.58444247  2.85555391  0.        ]
1 1.4422495703074083 [-0.62244644  2.82856766  0.        ]
1 1.4422495703074083 [-0.66007306  2.80110899  0.        ]
1 1.4422495703074083 [-0.6973169   2.77318344  0.        ]
1 1.4422495703074083 [-0.73417257  2.7447966   0.        ]
1 1.4422495703074083 [-0.77063478  2.71595412  0.        ]
1 1.4422495703074083 [-0.80669834  2.68666167  0.        ]
1 1.4422495703074083 [-0.84235813  2.65692499  0.        ]
1 1.4422495703074083 [-0.87760912  2.62674987  0.        ]
1 1.4422495703074083 [-0.91244636  2.59614214  0.        ]
1 1.4422495703074083 [-0.94686499  2.56510765  0.        ]
1 1.4422495703074083 [-0.98086023  2.53365234  0.        ]
1 1.4422495703074083 [-1.0144274   2.50178214  0.        ]
1 1.4422495703074083 [-1.04756187  2.46950307  0.        ]
1 1.4422495703074083 [-1.08025915  2.43682114  0.        ]
1 1.4422495703074083 [-1.11251478  2.40374244  0.        ]
1 1.4422495703074083 [-1.14432442  2.37027307  0.        ]
1 1.4422495703074083 [-1.17568381  2.33641918  0.        ]
1 1.4422495703074083 [-1.20658876  2.30218694  0.        ]
1 1.4422495703074083 [-1.23703518  2.26758256  0.        ]
1 1.4422495703074083 [-1.26701906  2.2326123   0.        ]
1 1.4422495703074083 [-1.29653648  2.19728242  0.        ]
1 1.4422495703074083 [-1.32558359  2.16159923  0.        ]
1 1.4422495703074083 [-1.35415664  2.12556907  0.        ]
1 1.4422495703074083 [-1.38225195  2.08919829  0.        ]
1 1.4422495703074083 [-1.40986595  2.05249328  0.        ]
1 1.4422495703074083 [-1.43699513  2.01546046  0.        ]
1 1.4422495703074083 [-1.46363607  1.97810627  0.        ]
